fid,obj_type,info,damage_gra,event_time,country,filename,txt,act_id,interpret,settl_type,subtype,functional,road_type,simplified,objectid,length,area,area_ha,emsr_id,fwi,wui_label
1,12 Non-residential Buildings,1211 Hotel buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
2,12 Non-residential Buildings,123 Wholesale and retail trade buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
3,12 Non-residential Buildings,"1241 Communication buildings, stations, terminals and associated buildings",No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
4,12 Non-residential Buildings,1242 Garage buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
5,12 Non-residential Buildings,1251 Industrial buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
6,12 Non-residential Buildings,"1263 School, university and research buildings",No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
7,12 Non-residential Buildings,1264 Hospital or institutional care buildings,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
8,12 Non-residential Buildings,1272 Buildings used as places of worship and for religious activities,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
9,12 Non-residential Buildings,1274 Other buildings not elsewhere classified,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
10,11 Residential Buildings,997 Not Applicable,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
11,12 Non-residential Buildings,1274 Other buildings not elsewhere classified,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
12,11 Residential Buildings,997 Not Applicable,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,,,,,
13,213 Airfield,21312 Helipad,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.139556094,,,,
14,"215 Harbours, waterways, dams and other waterworks",21510 Harbours,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.001980303,,,,
15,"215 Harbours, waterways, dams and other waterworks",21510 Harbours,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.001870656,,,,
16,"211 Highways, Streets and Roads",2111 Highways,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,5.02783235,,,,,
17,"211 Highways, Streets and Roads",21120 Primary Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,21.23438421,,,,,
18,"211 Highways, Streets and Roads",21121 Secondary Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,27.68357789,,,,,
19,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,167.2361907,,,,,
20,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,70.5308074,,,,,
21,212 Railways,2121 Long-distance railways,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,112.1030605,,,,,
22,"215 Harbours, waterways, dams and other waterworks",21510 Harbours,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.391663499,,,,,
23,"211 Highways, Streets and Roads",21120 Primary Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.391106332,,,,,
24,"211 Highways, Streets and Roads",21121 Secondary Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.665510678,,,,,
25,"211 Highways, Streets and Roads",21122 Local Road,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,1.591841147,,,,,
26,"211 Highways, Streets and Roads",21124 Cart Track,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,2.656008699,,,,,
27,212 Railways,2121 Long-distance railways,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.17341779,,,,,
28,"215 Harbours, waterways, dams and other waterworks",21510 Harbours,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.255474695,,,,,
29,"215 Harbours, waterways, dams and other waterworks",21512 Settling Basin,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,5.265845671,,,,
30,23 Complex Constructions on Industrial Sites,2301 Constructions for mining or extraction,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,62.41783929,,,,
31,23 Complex Constructions on Industrial Sites,2302 Power plant constructions,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.009468127,,,,
32,24 Other Civil Engineering Works,241 Sport and recreation constructions,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,22.34741512,,,,
33,24 Other Civil Engineering Works,242 Other civil engineering works not elsewhere classified,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,4.898101636,,,,
34,23 Complex Constructions on Industrial Sites,2301 Constructions for mining or extraction,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,0.021353977,,,,
35,24 Other Civil Engineering Works,241 Sport and recreation constructions,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,1.862759379,,,,
36,"215 Harbours, waterways, dams and other waterworks",2152 Dams,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,0.117029458,,,,,
37,"22 Pipelines, Communication and Electricity Lines","221 Long-distance pipelines, communication and electricity lines",No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,27.20434702,,,,,
38,"22 Pipelines, Communication and Electricity Lines",222 Local pipelines and cables,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,27.42714417,,,,,
39,"22 Pipelines, Communication and Electricity Lines","221 Long-distance pipelines, communication and electricity lines",No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,1.668325083,,,,,
40,"22 Pipelines, Communication and Electricity Lines",222 Local pipelines and cables,No visible damage,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,2.765984087,,,,,
41,2 Agricultural Areas,21 Arable land,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,26.89319157,,,,
42,2 Agricultural Areas,23 Pastures,Not Affected,1/3/2024,Germany,EMSR713_AOI01_DEL_PRODUCT_summaryTable_v2.xlsx,,,,,,,,,,,1009.461587,,,,
